wof:id,sg:id
169527235,SG_2cWOGkJEEAPaoE8wlhKnWz_41.012379_28.975925@1306270050
169548239,SG_18j7S6l87YKG8wCIjnOJh2_41.116718_37.265198@1306270051
169530199,SG_6ot6p3jbm9WGEdlqA7JWc1_14.487687_121.022514@1306270050
169529079,SG_0DZGyGthtbkbIQa5G2bKl6_39.943874_32.856033@1306270050
169530207,SG_7bFYKFaSI8rp09Ad3RygLv_14.487687_121.022514@1306270050
169571123,SG_4ZcuyIcQKGhlKGPE8RvqhJ_41.012379_28.975925@1306270052
169548281,SG_2aVZdoURAS7mHBLFzxxjGa_41.012379_28.975925@1306270051
169527239,SG_3oby4lyevq1xgh7p1wdMq6_39.985798_32.840393@1306270050
169528143,SG_6xMTGECKvIDJGDZIG6yRug_41.012379_28.975925@1306270050
169574041,SG_2dTlR4r14o6uth7hXEE2Ft_41.021832_29.015442@1306270052
169529091,SG_7VAtORQ2iIXZfxMVZSO9JT_41.012379_28.975925@1306270050
169571149,SG_1hRR3IYYSmTMngVwaOsiKN_41.012379_28.975925@1306270052
169548299,SG_5KkXs9lQNjsZqJn2lPuslP_39.971226_32.740742@1306270051
169527247,SG_5cWFyrfpJfdYSXrsnFxOxe_41.012379_28.975925@1306270050
169528155,SG_7dv6ZufrNCuq0zzgVrSuBd_41.012379_28.975925@1306270050
169574069,SG_2pfxFQpIdgiItfa8W3I9JI_41.012379_28.975925@1306270052
169530245,SG_6fAeSH671Diumg64Ge3FQb_40.991943_29.055447@1306270050
169571163,SG_6wZy48ilV5T9szuH8Zb6kb_40.900539_29.194298@1306270052
169548315,SG_2nbUBkW2Cy6qTChT1upo2Z_37.811703_28.486397@1306270051
169529099,SG_0VGzVBrtKnIs7AQuFsHrQn_41.044285_28.970459@1306270050
169574107,SG_2DH9XUpHbIKUmr6biioGu5_41.012379_28.975925@1306270052
169530253,SG_3UyzvrCYHlrR4pEfptZyFT_14.487687_121.022514@1306270050
169576007,SG_4EkKDJhfGY5kol92g7HSaW_41.012379_28.975925@1306270052
169528163,SG_4hQ5lQ7np0jHJ9JiCJBAv4_40.994591_28.843315@1306270050
169571181,SG_5zRVGkcjUMRll3CzZKfWLM_41.076378_28.973330@1306270052
169530261,SG_2H8WFhvIslfsGh1mPJRgji_41.030918_28.973242@1306270050
169548329,SG_4j0TPwCkHbN3iKegTMSPtO_37.773525_29.086491@1306270051
169529109,SG_5Q9uC1ZEUD6SV00jiqjGBG_41.012379_28.975925@1306270050
169574131,SG_2QOrfq5839Kfs718gOmsgW_41.012379_28.975925@1306270052
169576015,SG_1WKXHjhwUgOPTRpxBo2TpS_38.418697_27.129686@1306270052
169530269,SG_363MRDIzljcx6l8NyeTH7H_14.487687_121.022514@1306270050
169548351,SG_51UHQPNQH3sOKSfpHEZBa5_41.012379_28.975925@1306270051
169528175,SG_4LsPehBnNkXPmPwLK8f7XV_41.012379_28.975925@1306270050
